"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05"
"United States",0,,,,,,,,,,,,,,,,1.53008962868118,1.5024135547409,1.5164868552238,1.42457231726283,1.38194444444444,1.24328052044836,1.25,1.29411764705882,1.28915662650602,1.32737685858387,1.37106918238994,1.35003392130258,1.39873417721519,1.41509433962264,1.413982717989,1.39552205796979,1.4178204435615,1.3953488372093,1.39620403321471,1.37777777777778,1.31973605278944,1.37396883593034,1.41880341880342,1.40383086706616,1.40833333333333,1.41880341880342,1.49375,1.52658452146837,1.68532338308458,1.715,1.69230769230769,1.73414905450501,1.73866666666667,1.69072164948454,1.66666666666667,1.66464891041162,1.83830292958182,1.86875,1.83846153846154,1.78748601789709,1.80438578731589,1.7743979721166,1.75471698113208,1.72727272727273,1.73411764705882,1.81208053691275,1.83333333333333,1.82312925170068,1.83137829912023,1.84678522571819,1.87369565217391,1.87194114218649,1.865274065994,1.86170212765957,1.80452652312045,1.8191811028379,1.82529335071708,1.86237373737374,1.85057471264368,1.84646628757108,1.85353672343035
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57142857142857,3.425,3.36363636363636,3.29566036190944,3.29289215686275,3.24375,3.25,3.33333333333333,3.28392015009888,3.28903458907764,3.13725490196078,3.14089825119237,3.12093628088427,3.16150212549657,3.17876766091052,3.08943089430894,3.0449591280654,3.03468208092486,3.06128936355112,3.11656441717791,3.09090909090909,3.2070740406216,3.27777777777778
"Los Angeles-Long Beach-Anaheim, CA",2,1.84857142857143,1.83130243197565,1.89647519582245,1.90046082949309,1.9,1.95530726256983,1.90092165898618,1.84036480089112,1.80011914743392,1.8475373547316,1.84210526315789,1.78671189146049,1.79864864864865,1.82594381035997,1.83046336497657,1.87857674027612,1.86782376502003,1.84578804347826,1.84353741496599,1.80656934306569,1.75881918634481,1.83006535947712,1.82156699889258,1.86533333333333,1.90132715662952,1.93929173693086,1.92064750775101,1.92857142857143,1.9400946089226,1.94444444444444,1.92893401015228,1.95911413969336,2,1.97205722956861,1.95454545454545,1.97142857142857,2.01005025125628,2.0812030075188,2.04206241519674,2.08333333333333,2.08791208791209,2.03703703703704,2.06236559139785,2.08333333333333,2.11038961038961,2.08333333333333,2.21376050420168,2.17391304347826,2.15,2.13836466165414,2.17554112554113,2.23522274174579,2.25,2.27013198872905,2.29411764705882,2.36594347592351,2.4172909729027,2.42142857142857,2.41687239054176,2.42403314917127,2.44164012738853,2.42857142857143,2.43155149934811,2.45314516129032,2.46185447783758,2.47177419354839,2.49870475871314,2.51152073732719,2.51424501424501,2.56849315068493,2.55119214586255,2.58539754642934,2.59722222222222,2.63157894736842,2.61306818181818,2.62266355140187
"Chicago, IL",3,,1.53957960644007,1.64075630252101,1.53846153846154,1.55086206896552,1.49463466978831,1.41806722689076,1.55555555555556,1.60706357876338,1.64705882352941,1.65792922673657,1.64559497413156,1.68660714285714,1.71153846153846,1.79545454545455,1.81411764705882,1.85,1.84428365076993,1.86111111111111,1.88643292682927,1.84577887293765,1.82881773399015,1.86170212765957,1.84957420924574,1.79924242424242,1.75,1.70253164556962,1.85,1.89233278955954,1.88984240687679,1.875,1.93333333333333,1.89517761962898,1.85714285714286,1.87423935091278,1.85714285714286,2.0141078184111,2.03333333333333,2.06888888888889,2.07671290458176,2.125,2.13882618510158,2.12765957446809,2.18166666666667,2.11974842767296,2.11217374366965,2.16216216216216,2.10869565217391,2.04682103023109,2.06447963800905,2.06054279749478,2.13483146067416,2.21428571428571,2.30565070149976,2.12810304449649,2.27848101265823,2.24335709436524,2.14285714285714,2.02128999372647,2.15122615803815,2.30702515177797,2.219836400818,2.16343652748883,2.19482288828338,2.15181170915606,2.13161465400271,2.07417218543046,2.2536354056902,2.30628272251309,2.38616071428571,2.30232558139535,2.23864000176637,2.34782608695652,2.16087516087516,2.11388888888889,2.11222038111019
"Dallas-Fort Worth, TX",4,,,,,,,,1.26300149914335,1.29940711462451,1.27497621313035,1.29592997240659,1.08022922636103,1.08961593172119,1.09137055837563,1.05707510778833,1.04979041976503,1.05748865355522,1.07940446650124,0.930380951182767,0.921527011554075,0.959497182887234,1.00520522960796,1.03174603174603,1.04447191319874,1.0625,1.09894566098946,1.06184871631912,1.09638554216867,1.11111111111111,1.101108033241,1.09719166510231,1.10176390773406,1.1031746031746,1.09841827768014,1.1185086551265,1.17344497607656,1.13666228646518,1.15414634146341,1.14955357142857,1.17317045961624,1.19928134596031,1.20430245707824,1.15286624203822,1.23868469414545,1.2638036809816,1.28255144348894,1.27777777777778,1.26940357460255,1.27019659788065,1.26990908418952,1.29482071713147,1.29204216394685,1.28205128205128,1.25712733834143,1.23882503192848,1.25028968713789,1.26923076923077,1.30315500685871,1.27827360250299,1.23413762287757,1.29393939393939,1.28696925329429,1.30769230769231,1.30780141843972,1.33462282398453,1.33928571428571,1.35590277777778,1.38271939568985,1.38385646748818,1.41443127349489,1.41172733388146,1.41379310344828,1.42692750287687,1.46125,1.43966429603498,1.44927536231884
"Philadelphia, PA",5,,1.2085635359116,1.33999986941163,1.34146341463415,1.51979472140762,1.3771186440678,1.39277389277389,1.25686813186813,1.3,1.29583333333333,1.29838709677419,1.31428571428571,1.31428571428571,1.325,1.33689839572193,1.28335301062574,1.36506477591036,1.33333333333333,1.296,1.325,1.29370384517443,1.34934365903224,1.35555555555556,1.3956043956044,1.38342696629213,1.39202279202279,1.46766993087558,1.42723924864063,1.46284504162407,1.43785960874568,1.4033850493653,1.38032258064516,1.38576779026217,1.35568862275449,1.32051661111708,1.30769230769231,1.34838709677419,1.34310134310134,1.37550200803213,1.42280524722503,1.41677419354839,1.33858267716535,1.3143546528378,1.36363636363636,1.39053571428571,1.43916083916084,1.34730538922156,1.35982456140351,1.37857142857143,1.38227310184362,1.43844696969697,1.58333333333333,1.6141918416112,1.57387914230019,1.52217128865099,1.46749021526419,1.4577380952381,1.45699490383035,1.41352549889135,1.42997994465172,1.45823927765237,1.51755379388448,1.57333333333333,1.58461538461538,1.56639004149378,1.55283777573529,1.54859527987798,1.52307692307692,1.5281173594132,1.61261261261261,1.58302179369387,1.63571428571429,1.65130135788015,1.67873303167421,1.71470099667774,1.72413793103448
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17021276595745,1.22980018904007,1.12776847008826,1.12834978843441,1.16846986089645,1.22950710884749,1.2154350809985,1.17663817663818,1.2760989010989,1.272040302267,1.40495867768595,1.41792491190024,1.38009049773756,1.26782608695652,1.37746478873239,1.2905604719764,1.27019867549669,1.29457364341085,1.36348684210526,1.37993421052632,1.3485868102288,1.32175226586103,1.37553342816501,1.4054429931275,1.35224685661653,1.35840028842192,1.35746606334842,1.36781524041575,1.37335526315789,1.41836734693878,1.42905999609146,1.44687616648003,1.44557823129252,1.45042527046238,1.45904977375566,1.4609375,1.62450066577896,1.60429447852761,1.62905556771511,1.53846153846154,1.55827338129496,1.53744939271255,1.54136473429952
"Washington, DC",7,1.66045845272206,1.69385194479297,1.73410404624277,1.75419773743791,1.78571428571429,1.78571428571429,1.70714360059675,1.79846153846154,1.8018018018018,1.79705685618729,1.82745041710815,1.83153770812928,1.75879396984925,1.7784046310832,1.85745199744342,1.8802541544477,1.95022522522523,1.9203413940256,1.98072482023828,2,1.92307692307692,1.97334262447396,1.97748958059858,2.02020202020202,2.10727969348659,2.1875,2.19283276450512,2.27011494252874,2.26537216828479,2.25,2.16764422347869,2.13068181818182,2.17094017094017,2.14757923815062,2.164442863073,2.16305916305916,2.21080368906456,2.25163995847895,2.21337126600285,2.09097477666842,2.1137960144675,2.12372299896434,2.23703703703704,2.26656507602319,2.27627517868746,2.23159538937406,2.15192743764172,2.14689265536723,2.14646594455664,2.15168539325843,2.17300048139743,2.23564954682779,2.25269580567174,2.39733333333333,2.4375,2.3359386109249,2.28805769329395,2.28099173553719,2.25737437101848,2.25778331257783,2.3125,2.32357452183327,2.35649586077709,2.33507298207677,2.35294117647059,2.32926829268293,2.33601330018775,2.35665902140673,2.32935679726781,2.27187272802936,2.27623456790123,2.29007633587786,2.33948339483395,2.325,2.32970731429695,2.29677419354839
"Miami-Fort Lauderdale, FL",8,1.81381315517164,1.74813579277865,1.70893054024256,1.65730071033938,1.66112956810631,1.61651583710407,1.59944367176634,1.77677648949604,1.75438596491228,1.70716612290956,1.68918918918919,1.66332939770006,1.64835164835165,1.66666666666667,1.67682926829268,1.66666666666667,1.6569326262299,1.61016949152542,1.60493827160494,1.61725404909324,1.57894736842105,1.5832482124617,1.59958021781887,1.61129032258065,1.60818713450292,1.60685302841107,1.60403299725023,1.60075716110199,1.63252967450584,1.6260162601626,1.62094763092269,1.6260162601626,1.54929577464789,1.54300385109114,1.54883196041927,1.55635581209576,1.57142857142857,1.6,1.6304347826087,1.65366430260047,1.73076923076923,1.87617260787993,1.88002056423109,1.83098591549296,1.86522262334537,1.86901571376214,1.89633375474083,1.83333333333333,1.81347150259067,1.7741935483871,1.73410404624277,1.80442374854482,1.83764683411327,1.84770436730123,1.87140855902873,1.88933873144399,1.88744588744589,1.89161554192229,1.8970189701897,1.91616766467066,1.96895088262042,2,2,2.06611570247934,2.13333333333333,2.09923664122137,2.13936430317848,2.12121212121212,2.14194373401535,2.15453194650817,2.12727272727273,2.13414634146341,2.14250938934483,2.16666666666667,2.125,2.13483146067416
"Atlanta, GA",9,,1.23339658444023,1.22730278980279,1.23456790123457,1.36363636363636,1.19284294234592,1.05140186915888,1.18650793650794,1.20995401732561,1.22060353798127,1.19875,1.14241622574956,1.18522601984565,1.1851332398317,1.18780471515394,1.17073170731707,1.15789473684211,1.1219512195122,1.11915842137626,1.09321058688147,1.03849300057107,1.04756097560976,1.02921646746348,1.02794117647059,1.05263928837754,1.04151806942463,1.02871410736579,1.04101387452305,1.03423680456491,1.04446742502585,1.08461538461538,1.07322504230118,1.1061241773132,1.09154929577465,1.07326007326007,1.03253012048193,1.03286384976526,1.015625,1.01297528573688,1.03605769230769,1.04080695413141,1.07077303026347,1.08051979825354,1.15477629987908,1.22777777777778,1.1952861952862,1.26493506493507,1.33824750830565,1.32142857142857,1.33333333333333,1.33333333333333,1.31139240506329,1.33151380670611,1.32911392405063,1.30403532413129,1.32714847970366,1.31818181818182,1.34227045136588,1.34499703308115,1.35138387484958,1.37191157347204,1.37693631669535,1.40187493919304,1.43603133159269,1.47272727272727,1.46675358539765,1.49171270718232,1.4722211637389,1.46329371933946,1.52705061082024,1.51400677462197,1.50843373493976,1.50131233595801,1.53543599941081,1.53042328042328,1.39148936170213
