"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05"
"United States",0,,,,,,,,,850,850,850,932,1000,1100,1295,1300,1300,1300,1300,1225,1100,1075,1111,1135,1150,1200,1250,1300,1270,1250,1200,1225,1200,1200,1221,1150,1250,1292,1300,1310,1322,1395,1400,1530,1615,1550,1600,1600,1600,1600,1600,1700,1700,1500,1500,1499,1475,1459,1425,1450,1485,1500,1500,1509,1500,1500,1500,1495,1485,1412,1445,1454,1499,1495,1495,1500
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2150,2150,2225,2200,2200,2295,2350,2395,2400,2400,2400,2420,2450,2495,2495,2500,2475,2550,2500,2550,2600,2600,2525,2550,2600,2625,2550,2550,2500,2535,2550,2550,2595,2570,2199,2133.5,2150,2150,2148.5,2100,2100,2100,2135,2200,2250,2197.5,2100,2165,2150,2100,2100,2100,2099,2100,2100,2150,2200
"Los Angeles-Long Beach-Anaheim, CA",2,,1375,1425,1415,1450,1500,1520,1375,1300,1350,1350,1250,1295,1295,1295,1300,1300,1295,1295,1275,1240,1225,1200,1250,1295,1320,1324,1325,1330,1330,1345,1385,1375,1370,1349,1354,1415,1450,1422.5,1436.5,1425,1399,1395,1395,1445,1350,1495,1485,1450,1425,1475,1540,1538.5,1555,1595,1625,1675,1684,1695,1695,1715,1704.5,1700,1720,1725,1736,1750,1750,1755,1799.5,1795,1823,1850,1878.5,1853.5,1865
"Chicago, IL",3,,1100,1150,1100,1100,1000,985,1125,1250,1255,1265,1150,1215,1200,1225,1245,1310,1286,1250,1275,1250,1225,1295,1300,1235,1195,1150,1200,1270,1255,1250,1300,1380,1325,1375,1350,1495,1395.5,1449,1470,1500,1513,1525,1500,1480,1516,1595,1550,1456,1430,1400,1400,1425,1568,1400,1600,1630,1600,1350,1489.5,1595,1400,1399,1415,1400,1375,1385,1525,1600,1687,1600,1550,1650,1495,1450,1453
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,650,655,685,713.5,737,777,807,775,794,795,785,775,793,796,800,827,930,825,848,850,864,880,895,850,960,1021,1055,1049,1025,999,1000,1020,969,993,940,925,925,939,1002,1010,1000,980,950,989,990,999,999,1015,1039,1030,1060,1059,1066,1079,1109,1090,1098
"Philadelphia, PA",5,,,,,,,990,895,895,915,900,975,950,950,995,950,975,930,950,975,925,930,925,935,970,975,1000,999.5,992.5,975,995,975,989,990,950,925,950,975,980.5,1050,1001.5,975,950,950,950,990,975,925,945,950,975,1100,1100,1100,1099.5,1041,1050,1025,1000,1000,1015,1055,1120,1110,1100,1072.5,1100,1052,1050,1105,1062.5,1100,1100,1140,1170,1200
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,975,1085,1005,990,1013,1044,1057,1050,1045,1050,1077,1020,1025,1020,1026.5,1049.5,1079,1099,1100,1100,1100,1109.5,1119,1239,1220,1240,1175,1200,1173.5,1170
"Washington, DC",7,1300,1300,1399.5,1350,1395,1400,1375,1400,1400,1400,1415,1425,1400,1400,1425,1430,1465,1500,1720,1780,1758,1615,1632.5,1655,1694,1744,1746.5,1765,1795,1780,1710,1708,1705,1695,1720,1725,1722,1739,1700,1614.5,1650,1621,1698,1695,1684,1675,1640,1655,1649,1630,1650,1695,1700,1785,1800,1710,1695,1692,1695,1695,1729,1725,1750,1743,1740,1719,1730,1729,1715,1695,1695,1700,1724,1727,1730,1700
"Miami-Fort Lauderdale, FL",8,1300,1299,1300,1275,1300,1200,1200,1325,1350,1300,1300,1299,1300,1300,1300,1292.5,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1225,1200,1250,1250,1249.5,1200,1175,1175,1195,1195,1200,1200,1225,1250,1300,1450,1429,1400,1440,1450,1450,1400,1375,1325,1300,1350,1390,1395,1399,1400,1400,1425,1400,1450,1500,1500,1500,1560,1625,1600,1650,1600,1600,1650,1600,1639,1650,1650,1600,1600
"Atlanta, GA",9,999.5,975,1000,1000,1050,1000,925,900,950,975,950,877,925,911.5,900,890,860,850,869,880,804,810,836.5,799,840,797,795,825,830,835,855,830,845,822,810,802,795,795,799,825,818,835,840,900,975,940,998,1033,1009,1018,1025,1020,1049.5,1050,1025,1050,1027.5,1030,1030,1055,1085,1075,1084.5,1116.5,1142,1140,1151,1139.5,1130,1169,1170,1171.5,1173,1200,1200,1093
