OPEID,SCHOOL,ADDR,CITY,STATE,ST_DESC,ZIP,ZIP_EXT,Country,LONGEST PROGRAM LENGTH,SCHOOL TYPE,COHORT YEAR,NUMBER IN DEFAULT,NUMBER ENTERING REPAYMENT,DEFAULT RATE,PRATE,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
025410,Alaska Career College,1415 E. Tudor Road,Anchorage,AK,Alaska,99507,1033,,Associate's Degree,Prop,2009,65,337,19.2,A,,B,AL,10,1
025769,Charter College,2221 East Northern Lights Boulevard,Anchorage,AK,Alaska,99508,4103,,Bachelor's Degree,Prop,2009,79,450,17.5,A,,B,AL,10,1
031603,AVTEC - Alaska's Institute of Technology,809 Second Avenue,Seward,AK,Alaska,99664,0889,,Non-Degree 1 Year (900-1799 hours),Pub,2009,5,65,7.6,A,,B,AL,10,1
001063,University of Alaska Fairbanks,"3rd Floor, Signer's Hall",Fairbanks,AK,Alaska,99775,7500,,Master's Degree or Doctor's Degree,Pub,2009,104,895,11.6,P,,B,AL,10,1
011462,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,Alaska,99508,8050,,Master's Degree or Doctor's Degree,Pub,2009,203,2142,9.4,A,,B,AL,10,1
001065,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,Alaska,99801,8680,,Master's Degree or Doctor's Degree,Pub,2009,41,361,11.3,P,,B,AL,10,1
001061,Alaska Pacific University,4101 University Drive,Anchorage,AK,Alaska,99508,4672,,Master's Degree or Doctor's Degree,Priv,2009,12,187,6.4,A,,B,AL,10,1
008843,Alaska Bible College,"College Road, Mile 187",Glennallen,AK,Alaska,99588,0000,,Bachelor's Degree,Priv,2009,0,0,0,A,,D,AL,10,1
041386,Alaska Christian College,35109 Royal Place,Soldotna,AK,Alaska,99669,9755,,Non-Degree 2 Years (1800-2699 hours),Priv,2009,0,0,0,A,,D,AL,10,0
001046,Talladega College,627 West Battle Street,Talladega,AL,Alabama,35160,2354,,Bachelor's Degree,Priv,2009,21,76,27.6,A,H,B,03,04,1
001017,Gadsden State Community College,1001 George Wallace Drive,Gadsden,AL,Alabama,35903,2269,,Associate's Degree,Pub,2009,0,0,0,P,H,B,04,04,1
010554,Concordia College Alabama,1712 Broad Street,Selma,AL,Alabama,36701,3323,,Bachelor's Degree,Priv,2009,30,72,41.6,A,H,B,07,04,1
007871,George C. Wallace State Community College,801 Main Street Northwest,Hanceville,AL,Alabama,35077,2000,,Associate's Degree,Pub,2009,261,1020,25.5,A,,B,04,04,1
001031,Northeast Alabama Community College,138  Highway 35,Rainsville,AL,Alabama,35986,0159,,Associate's Degree,Pub,2009,81,323,25,A,,B,04,04,1
001007,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,Alabama,35010,0000,,Associate's Degree,Pub,2009,132,430,30.6,P,,B,03,04,1
005697,Northwest - Shoals Community College,800 George Wallace Boulevard,Muscle Shoals,AL,Alabama,35662,3206,,Associate's Degree,Pub,2009,180,662,27.1,P,,B,05,04,1
012182,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,Alabama,36869,7917,,Associate's Degree,Pub,2009,93,326,28.5,A,,B,03,04,1
001033,Oakwood University,"7000 Adventist Boulevard, Northwest",Huntsville,AL,Alabama,35896,0001,,Master's Degree or Doctor's Degree,Priv,2009,88,446,19.7,A,H,B,05,04,1
030106,Virginia College,488 Palisades Boulevard,Birmingham,AL,Alabama,35209,5154,,Master's Degree or Doctor's Degree,Prop,2009,1679,7923,21.1,P,,B,07,04,1
001015,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,Alabama,36331,1300,,Associate's Degree,Pub,2009,48,257,18.6,A,,B,02,04,1
001013,Calhoun Community College,Highway 31 North,Decatur,AL,Alabama,35609,2216,,Associate's Degree,Pub,2009,239,1264,18.9,P,,B,05,04,1
021997,Heritage Christian University,3625 Helton Drive,Florence,AL,Alabama,35630,6245,,Bachelor's Degree,Priv,2009,6,23,26,A,,B,05,04,1
001040,Southern Union State Community College,750 Roberts Street,Wadley,AL,Alabama,36276,0000,,Associate's Degree,Pub,2009,155,773,20,P,,B,03,04,1
001026,Marion Military Institute,1101 Washington Street,Marion,AL,Alabama,36756,3214,,Associate's Degree,Pub,2009,21,84,25,A,,B,07,04,1
001028,Miles College,5500 Myron Massey Boulevard,Fairfield,AL,Alabama,35064,2697,,Bachelor's Degree,Priv,2009,166,762,21.7,A,H,B,07,04,1
037833,Blue Cliff Career College,"2970 Cottage Hill Road, Suite 175",Mobile,AL,Alabama,36606,4749,,Non-Degree 2 Years (1800-2699 hours),Prop,2009,32,98,32.6,A,,B,1,04,1
001060,James H. Faulkner State Community College,1900 Highway 31 South,Bay Minette,AL,Alabama,36507,2698,,Associate's Degree,Pub,2009,140,700,20,A,,B,01,04,1
001023,Judson College,302 Bibb Street,Marion,AL,Alabama,36756,2504,,Bachelor's Degree,Priv,2009,5,91,5.4,A,,B,07,04,1
001019,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,Alabama,36106,2148,,Bachelor's Degree,Priv,2009,26,236,11,A,,B,02,04,1
001005,Alabama State University,915 South Jackson Street,Montgomery,AL,Alabama,36104,5714,,Master's Degree or Doctor's Degree,Pub,2009,430,2045,21,P,H,B,03,04,1
001016,University of North Alabama,One Harrison Plaza,Florence,AL,Alabama,35632,0001,,Master's Degree or Doctor's Degree,Pub,2009,173,1232,14,A,,B,05,04,1
001022,Jefferson State Community College,2601 Carson Road,Birmingham,AL,Alabama,35215,3098,,Associate's Degree,Pub,2009,91,817,11.1,A,,B,07,04,1
008310,Auburn University Montgomery,7440 East Drive,Montgomery,AL,Alabama,36117,3596,,Master's Degree or Doctor's Degree,Pub,2009,158,1268,12.4,A,,B,03,04,1
001050,Tuskegee University,308 Kresge Center,Tuskegee Institute,AL,Alabama,36088,1645,,Master's Degree or Doctor's Degree,Priv,2009,98,743,13.1,P,H,B,03,04,1
001047,Troy University,University Avenue,Troy,AL,Alabama,36082,0001,,Master's Degree or Doctor's Degree,Pub,2009,982,6486,15.1,P,,B,02,04,1
022704,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,Alabama,35244,2083,,Bachelor's Degree,Priv,2009,8,70,11.4,P,,B,06,04,1
001003,Faulkner University,5345 Atlanta Highway,Montgomery,AL,Alabama,36109,3398,,Master's Degree or Doctor's Degree,Priv,2009,192,1166,16.4,A,,B,02,04,1
001002,Alabama Agricultural & Mechanical University,4900 Meridian Street,Normal,AL,Alabama,35762,1357,,Master's Degree or Doctor's Degree,Pub,2009,217,1514,14.3,A,H,B,05,04,1
001020,Jacksonville State University,"700 Pelham Road, North",Jacksonville,AL,Alabama,36265,1602,,Master's Degree or Doctor's Degree,Pub,2009,288,2141,13.4,A,,B,03,04,1
033614,Fortis College,200 East Laurel Avenue,Foley,AL,Alabama,36535,0000,,Non-Degree 1 Year (900-1799 hours),Prop,2009,10,201,4.9,A,,B,01,04,1
001004,University of Montevallo,Palmer Circle,Montevallo,AL,Alabama,35115,6000,,Master's Degree or Doctor's Degree,Pub,2009,83,578,14.3,A,,B,06,04,1
001024,University of West Alabama,205 North Washington,Livingston,AL,Alabama,35470,0000,,Master's Degree or Doctor's Degree,Pub,2009,167,1423,11.7,A,,B,07,04,1
023410,Fortis College,3590 Pleasant Valley Road,Mobile,AL,Alabama,36609,2012,,Associate's Degree,Prop,2009,60,648,9.2,A,,B,01,04,1
026055,Remington College - Mobile Campus,828 Downtowner Loop West,Mobile,AL,Alabama,36609,5593,,Bachelor's Degree,Priv,2009,410,2578,15.9,P,,B,01,04,1
001012,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,Alabama,35254,0002,,Bachelor's Degree,Priv,2009,13,180,7.2,A,,B,07,04,1
