"","season","stage","country","league","home_team_long","away_team_long","result","entropy"
"1","2008/2009",1,"England","England Premier League","Manchester United","Newcastle United","D",1.11543376339084
"2","2008/2009",1,"England","England Premier League","Sunderland","Liverpool","A",1.36731200816895
"3","2008/2009",1,"England","England Premier League","West Ham","Wigan","H",1.51113745794057
"4","2008/2009",1,"England","England Premier League","Aston Villa","Manchester City","H",1.52048738794638
"5","2008/2009",1,"England","England Premier League","Everton","Blackburn","A",1.52934160159429
"6","2008/2009",1,"England","England Premier League","Middlesbrough","Tottenham","H",1.56000966187798
"7","2008/2009",1,"England","England Premier League","Bolton","Stoke","H",1.48732827965513
"8","2008/2009",1,"England","England Premier League","Hull","Fulham","H",1.57034793683248
"9","2008/2009",1,"England","England Premier League","Chelsea","Portsmouth","H",1.1503593765285
"10","2008/2009",10,"England","England Premier League","Manchester United","West Ham","H",0.988620096984731
"11","2008/2009",10,"England","England Premier League","Arsenal","Tottenham","D",1.27342569618122
"12","2008/2009",10,"England","England Premier League","Middlesbrough","Manchester City","H",1.56778533445895
"13","2008/2009",10,"England","England Premier League","Bolton","Everton","A",1.56916879510473
"14","2008/2009",10,"England","England Premier League","Hull","Chelsea","A",1.23398301914335
"15","2008/2009",10,"England","England Premier League","Stoke","Sunderland","H",1.56977276234559
"16","2008/2009",10,"England","England Premier League","Liverpool","Portsmouth","H",1.19394004670269
"17","2008/2009",10,"England","England Premier League","Aston Villa","Blackburn","H",1.43578403813088
"18","2008/2009",10,"England","England Premier League","Newcastle United","West Bromwich Albion","H",1.50515578122845
"19","2008/2009",10,"England","England Premier League","Fulham","Wigan","H",1.56758884897718
"20","2008/2009",11,"England","England Premier League","Manchester United","Hull","H",0.925558148602068
"21","2008/2009",11,"England","England Premier League","Tottenham","Liverpool","H",1.54108475570635
"22","2008/2009",11,"England","England Premier League","Everton","Fulham","H",1.44569869095847
"23","2008/2009",11,"England","England Premier League","Middlesbrough","West Ham","D",1.52810983074787
"24","2008/2009",11,"England","England Premier League","Newcastle United","Aston Villa","H",1.5652951294403
"25","2008/2009",11,"England","England Premier League","Bolton","Manchester City","H",1.56184395309444
"26","2008/2009",11,"England","England Premier League","West Bromwich Albion","Blackburn","D",1.56880122303776
"27","2008/2009",11,"England","England Premier League","Portsmouth","Wigan","A",1.51100744302695
"28","2008/2009",11,"England","England Premier League","Stoke","Arsenal","H",1.19347431466784
"29","2008/2009",11,"England","England Premier League","Chelsea","Sunderland","H",0.960343082377067
"30","2008/2009",12,"England","England Premier League","Arsenal","Manchester United","H",1.56342034890658
"31","2008/2009",12,"England","England Premier League","Liverpool","West Bromwich Albion","H",0.980588497158253
"32","2008/2009",12,"England","England Premier League","Sunderland","Portsmouth","A",1.56870718687072
"33","2008/2009",12,"England","England Premier League","West Ham","Everton","A",1.56994205596663
"34","2008/2009",12,"England","England Premier League","Aston Villa","Middlesbrough","A",1.43055182572463
"35","2008/2009",12,"England","England Premier League","Manchester City","Tottenham","A",1.56019983580622
"36","2008/2009",12,"England","England Premier League","Blackburn","Chelsea","A",1.23271233945932
"37","2008/2009",12,"England","England Premier League","Fulham","Newcastle United","H",1.5687466761755
"38","2008/2009",12,"England","England Premier League","Hull","Bolton","A",1.55314508872285
"39","2008/2009",12,"England","England Premier League","Wigan","Stoke","D",1.4649852804946
"40","2008/2009",13,"England","England Premier League","Manchester United","Stoke","H",0.878036516551378
"41","2008/2009",13,"England","England Premier League","Arsenal","Aston Villa","A",1.31940269154007
"42","2008/2009",13,"England","England Premier League","West Ham","Portsmouth","D",1.56926633015184
"43","2008/2009",13,"England","England Premier League","Everton","Middlesbrough","D",1.49648028827107
"44","2008/2009",13,"England","England Premier League","Newcastle United","Wigan","D",1.53882962314919
"45","2008/2009",13,"England","England Premier League","Blackburn","Sunderland","A",1.54634770488188
"46","2008/2009",13,"England","England Premier League","Fulham","Tottenham","H",1.55792842573448
"47","2008/2009",13,"England","England Premier League","Bolton","Liverpool","A",1.32707255937978
"48","2008/2009",13,"England","England Premier League","West Bromwich Albion","Chelsea","A",1.08387180556927
"49","2008/2009",13,"England","England Premier League","Hull","Manchester City","D",1.56777500206693
"50","2008/2009",14,"England","England Premier League","Liverpool","Fulham","D",1.04590725056435
"51","2008/2009",14,"England","England Premier League","Sunderland","West Ham","A",1.55019072552821
"52","2008/2009",14,"England","England Premier League","Tottenham","Blackburn","H",1.45673496012338
"53","2008/2009",14,"England","England Premier League","Aston Villa","Manchester United","D",1.39520318312134
"54","2008/2009",14,"England","England Premier League","Middlesbrough","Bolton","A",1.49908133597371
"55","2008/2009",14,"England","England Premier League","Manchester City","Arsenal","H",1.54883800178962
"56","2008/2009",14,"England","England Premier League","Portsmouth","Hull","D",1.48469191305208
"57","2008/2009",14,"England","England Premier League","Stoke","West Bromwich Albion","H",1.55701532016524
"58","2008/2009",14,"England","England Premier League","Wigan","Everton","H",1.57048127790781
"59","2008/2009",14,"England","England Premier League","Chelsea","Newcastle United","D",0.967000210145102
"60","2008/2009",15,"England","England Premier League","Liverpool","West Ham","D",1.11815621552613
"61","2008/2009",15,"England","England Premier League","Sunderland","Bolton","A",1.56570733137229
"62","2008/2009",15,"England","England Premier League","Tottenham","Everton","A",1.52551863690971
"63","2008/2009",15,"England","England Premier League","Aston Villa","Fulham","D",1.40493925607955
"64","2008/2009",15,"England","England Premier League","Middlesbrough","Newcastle United","D",1.55806927555107
"65","2008/2009",15,"England","England Premier League","Manchester City","Manchester United","A",1.42229110405458
"66","2008/2009",15,"England","England Premier League","Portsmouth","Blackburn","H",1.53208874771688
"67","2008/2009",15,"England","England Premier League","Stoke","Hull","D",1.56866141644496
"68","2008/2009",15,"England","England Premier League","Wigan","West Bromwich Albion","H",1.47822739037451
"69","2008/2009",15,"England","England Premier League","Chelsea","Arsenal","A",1.44817844381102
"70","2008/2009",16,"England","England Premier League","Manchester United","Sunderland","H",0.881498614809968
"71","2008/2009",16,"England","England Premier League","Arsenal","Wigan","H",1.12526664083378
"72","2008/2009",16,"England","England Premier League","West Ham","Tottenham","A",1.57061008275493
"73","2008/2009",16,"England","England Premier League","Everton","Aston Villa","A",1.57101424169496
"74","2008/2009",16,"England","England Premier League","Newcastle United","Stoke","D",1.4748333667237
"75","2008/2009",16,"England","England Premier League","Blackburn","Liverpool","A",1.35444762769311
"76","2008/2009",16,"England","England Premier League","Fulham","Manchester City","D",1.57145432792528
"77","2008/2009",16,"England","England Premier League","Bolton","Chelsea","A",1.27863719242124
"78","2008/2009",16,"England","England Premier League","West Bromwich Albion","Portsmouth","D",1.57072194208923
"79","2008/2009",16,"England","England Premier League","Hull","Middlesbrough","H",1.56848966586196
"80","2008/2009",17,"England","England Premier League","Liverpool","Hull","D",1.15732029839588
"81","2008/2009",17,"England","England Premier League","Sunderland","West Bromwich Albion","H",1.54381010261918
"82","2008/2009",17,"England","England Premier League","Tottenham","Manchester United","D",1.40628845120319
"83","2008/2009",17,"England","England Premier League","Aston Villa","Bolton","H",1.42381201934615
"84","2008/2009",17,"England","England Premier League","Middlesbrough","Arsenal","D",1.38984559096063
"85","2008/2009",17,"England","England Premier League","Manchester City","Everton","A",1.5415941454972
"86","2008/2009",17,"England","England Premier League","Portsmouth","Newcastle United","A",1.54052996701634
"87","2008/2009",17,"England","England Premier League","Stoke","Fulham","D",1.56681649887627
"88","2008/2009",17,"England","England Premier League","Wigan","Blackburn","H",1.53683367653511
"89","2008/2009",17,"England","England Premier League","Chelsea","West Ham","D",1.00217506594902
"90","2008/2009",18,"England","England Premier League","Manchester United","Wigan","H",1.0055123246521
"91","2008/2009",18,"England","England Premier League","Arsenal","Liverpool","D",1.57270864782873
"92","2008/2009",18,"England","England Premier League","West Ham","Aston Villa","A",1.56394426772455
"93","2008/2009",18,"England","England Premier League","Everton","Chelsea","D",1.37585713678116
"94","2008/2009",18,"England","England Premier League","Newcastle United","Tottenham","H",1.56917162930129
"95","2008/2009",18,"England","England Premier League","Blackburn","Stoke","H",1.48872944030462
"96","2008/2009",18,"England","England Premier League","Fulham","Middlesbrough","H",1.5573431260073
"97","2008/2009",18,"England","England Premier League","Bolton","Portsmouth","H",1.55996893141988
