"","d10comb$PUMA","VAL.y","HINCP.y","HHT_MDC.y","HHT_OF.y","HHT_NFLA.y","HHT_NFNLA.y","SEX_M.y","SEX_F.y","RACE_W.y","RACE_B.y","RACE_AI.y","RACE_AN.y","RACE_AIAN.y","RACE_A.y","RACE_PI.y","RACE_O.y","RACE_2M.y","EDU_NO.y","EDU_NOHS.y","EDU_HS.y","EDU_ALT.y","EDU_SC.y","EDU_AD.y","EDU_BD.y","EDU_MD.y","EDU_PD.y","EDU_DD.y","AGEP.y","PINCP.y","EDU_NONE.y","EDU_HSDIP.y","EDU_HIED.y"
"1","04114",28,5,1,-3,1,1,4,0,3,-3,-1,0,-20,NA,NA,-2,4,-2,-15,15,14,25,13,17,19,7,8,14,-3,-14,19,18
"2","04113",27,7,2,4,0,-2,10,12,0,5,-15,0,-35,NA,NA,10,52,34,-17,32,36,42,25,22,13,8,2,6,-2,-15,37,22
"3","04112",23,7,4,11,3,5,20,25,2,24,-4,0,0,NA,NA,16,26,31,-28,48,95,74,54,41,31,5,6,4,3,-26,64,42
"4","04111",27,7,3,7,1,10,15,19,5,4,-3,0,20,NA,NA,6,33,53,-20,35,32,48,45,38,23,9,8,3,-5,-18,41,37
"5","04110",33,13,2,3,2,8,9,11,6,1,0,0,20,NA,NA,-4,17,3,-31,49,36,52,43,43,32,8,5,6,6,-31,50,41
"6","04109",32,9,1,-1,1,5,8,4,5,-1,-2,0,0,NA,NA,-15,13,11,-20,19,12,25,28,45,30,11,14,3,4,-20,21,39
"7","04108",27,8,0,0,-1,3,0,1,-2,1,0,0,15,NA,NA,2,7,2,-25,14,6,24,17,42,40,24,29,7,6,-24,17,41
"8","04107",33,5,0,1,0,0,4,4,1,1,8,0,25,NA,NA,1,15,24,-17,21,13,25,22,24,16,4,5,-1,0,-15,22,22
"9","04106",33,6,0,3,-1,1,3,7,0,2,-1,0,0,NA,NA,-1,5,15,-26,22,19,36,31,42,35,18,34,1,-9,-25,27,42
"10","04105",27,8,3,6,0,4,12,15,-2,21,3,0,0,NA,NA,1,31,17,-34,46,47,70,50,48,39,11,10,2,-1,-32,57,48
