"","Name","Edition","City","Country","Owner","Seeker","Trader"
"1","[Mug Shot — «Singapore 2 Mini YAH 2016»]","14 YAH ornaments","Singapore","Singapore",2,7,0
"2","[Mug Shot — «Singapore 1 Mini YAH 2016»]","14 YAH ornaments","Singapore","Singapore",2,6,0
"3","[Mug Shot — «Ho Chi Minh City Mini YAH 2016»]","14 YAH ornaments","Ho Chi Minh","Vietnam",3,6,0
"4","[Mug Shot — «Vietnam Mini YAH 2016»]","14 YAH ornaments","Vietnam","Vietnam",3,5,0
"5","[Mug Shot — «Hanoi Mini YAH 2016»]","14 YAH ornaments","Hanoi","Vietnam",3,6,0
"6","[Mug Shot — «Hong Kong Mini YAH 2016»]","14 YAH ornaments","Hong Kong","China",4,6,0
"7","[Mug Shot — «Macau Mini YAH 2016»]","14 YAH ornaments","Macau","China",4,6,0
"8","[Mug Shot — «You Are Here Singapore 2 Water Bottle»]","City Tumbler","Singapore","Singapore",0,2,0
"9","[Mug Shot — «You Are Here Singapore Water Bottle»]","City Tumbler","Singapore","Singapore",0,2,0
"10","[Mug Shot — «You Are Here in Singapore 2»]","13 You Are Here Series","Singapore","Singapore",2,22,0
"11","[Mug Shot — «You Are Here in Singapore 1»]","13 You Are Here Series",NA,"Singapore",2,22,0
"12","[Mug Shot — «2016 Mid Autumn Festival Mug»]","Limited Edition","Various","Taiwan",0,3,0
"13","[Mug Shot — «2016 Mid Autumn Festival Purple Relief Mug»]","Limited Edition","Various","Taiwan",0,3,0
"14","[Mug Shot — «2016 Mid Autumn Festival Demiset»]","Limited Edition","Various","Taiwan",0,3,0
"15","[Mug Shot — «2016 Chinese Valentine's Pink Mug»]","Limited Edition","Various","Taiwan",0,2,0
"16","[Mug Shot — «2016 Chinese Valentine's Baby Blue Mug»]","Limited Edition","Various","Taiwan",0,1,0
"17","[Mug Shot — «2016 Dragonboat Festival Mug»]","Limited Edition","Various","Taiwan",2,1,0
"18","[Mug Shot — «2016 Coffee Journey Mug»]","Limited Edition","Various","Taiwan",1,2,0
"19","[Mug Shot — «2016 Iceberg Mug»]","Limited Edition","Various","South Korea",1,3,0
"20","[Mug Shot — «2016 Iceberg Demimug»]","Limited Edition","Various","South Korea",1,2,0
"21","[Mug Shot — «2016 17th Anniversary Stainless Steel Tumbler»]","Limited Edition","Various","South Korea",3,1,0
"22","[Mug Shot — «2016 4th Hangeul Korean Scripture Mug»]","Limited Edition","Various","South Korea",4,1,0
"23","[Mug Shot — «Strasbourg YAH»]","13 You Are Here Series","Strasbourg","France",7,22,0
"24","[Mug Shot — «2016 Ginza 20th Years n' Onward Glass Mug»]","Limited Edition","Tokyo","Japan",3,2,1
"25","[Mug Shot — «2016 Mid Autumn Mug»]","Limited Edition","Hong Kong","China",0,3,0
"26","[Mug Shot — «2016 Mid Autumn Set of 2 Glasses»]","Limited Edition","Various","Taiwan",0,3,0
"27","[Mug Shot — «2003 African Continent»]","Limited Edition",NA,"Japan",2,2,0
"28","[Mug Shot — «2016 Sunflower Mug»]","Limited Edition","Various","China",0,3,0
"29","[Mug Shot — «2003 Zimbabwe Cave Painting»]","Limited Edition",NA,"Japan",1,2,0
"30","[Mug Shot — «2016 Summer Rose Mug»]","Limited Edition","Various","China",0,3,0
"31","[Mug Shot — «2016 20 years in Ginza Mug»]","Limited Edition","Tokyo","Japan",3,3,1
"32","[Mug Shot — «Yinchuan»]","08 Icon Edition","Yinchuan","China",10,44,1
"33","[Mug Shot — «2016 Chinese Valentines Blue mug with bearista keychain»]","Limited Edition","Various","China",1,1,0
"34","[Mug Shot — «2016 Chinese Valentines Pink mug with bearista keychain»]","Limited Edition","Various","China",1,1,0
"35","[Mug Shot — «2016 Chinese Valentines Blue Mug»]","Limited Edition","Various","China",0,1,0
"36","[Mug Shot — «2016 Chinese Valentines Pink Mug»]","Limited Edition","Various","China",0,1,0
"37","[Mug Shot — «Hawaii ceramic Logo Tumbler»]","Limited Edition","Various","USA",4,3,1
"38","[Mug Shot — «Hawaii»]","Limited Edition","Various","USA",5,4,1
"39","[Mug Shot — «Dongguan»]","Relief Series","Dongguan","China",5,18,1
"40","[Mug Shot — «Xiamen»]","Relief Series","Xiamen","China",5,18,1
"41","[Mug Shot — «Nanning»]","Relief Series","Nanning","China",4,19,1
"42","[Mug Shot — «Romeo & Juliet - Arrow To My Heart»]","Holiday Mugs",NA,"USA",3,0,1
"43","[Mug Shot — «You Are Here In Athens»]","13 You Are Here Series","Athens","Greece",10,32,1
"44","[Mug Shot — «You Are Here In Hanoi»]","13 You Are Here Series","Hanoi","Vietnam",10,31,1
"45","[Mug Shot — «You Are Here In Ho Chi Minh City»]","13 You Are Here Series","Ho Chi Minh","Vietnam",10,32,1
"46","[Mug Shot — «Korea 17th Anniversary Demi»]","Asian Artsy Design Mugs",NA,"South Korea",6,2,0
"47","[Mug Shot — «Korea 17th Anniversary mug»]","Asian Artsy Design Mugs",NA,"South Korea",7,1,0
"48","[Mug Shot — «hot cup holiday»]","3 users",NA,"Canada",3,0,1
