"","AptName","T_studioArea","T_studioPrice","T_1bedRoomArea","T_1bedRoomPrice","T_2bedRoomArea","T_2bedRoomPrice","Street","City","State","Postal","ElementarySchool_rating","MiddleSchool_rating","HighSchool_rating","CrimeLevel"
"1","10 Hanover Square",419,2762,665,3781,1161,5841,"10 Hanover Sq,","New York","NY","10005",NA,"Above Average","Below Average","Lowest"
"2","101 West End",457,3010,461,3490,1023,5200,"101 W End Ave,","New York","NY","10023","Below Average","Average","Average","Lowest"
"3","1080 Amsterdam",0,2995,0,3795,0,6395,"501 W 113th St,","New York","NY","10025","Average","Average","Below Average","Lowest"
"4","1214 Fifth Avenue",0,3795,0,4125,0,6795,"1214 5th Ave,","New York","NY","10029","Average","Average","Below Average","Lowest"
"5","170 Amsterdam",438,3370,550,4570,827,6385,"170 Amsterdam Ave,","New York","NY","10023","Above Average","Above Average","Average","Lowest"
"6","200 East 87th Street",0,2650,604,4550,1078,5500,"200 E 87th St,","New York","NY","10128","Above Average","Below Average","Average","Lowest"
"7","21 Chelsea",410,0,510,4600,756,6576,"120 W 21st St,","New York","NY","10011","Above Average","Above Average","Average","Lowest"
"8","210 East 22nd Street",0,2995,0,3850,0,5095,"210 E 22nd St,","New York","NY","10010","Above Average","Above Average","Average","Low"
"9","220 East 22nd Street",NA,NA,0,3950,700,5395,"220 E 22nd St,","New York","NY","10010","Above Average","Above Average","Average","Low"
"10","236 E 36th St",0,2700,0,3200,NA,NA,"236 E 36th St,","New York","NY","10016","Above Average","Above Average","Below Average","Low"
"11","247 W 87th Street",0,3400,0,3900,0,6800,"247 W 87th St,","New York","NY","10024","Average","Average","Below Average","Low"
"12","25 Broad Street at The Exchange",NA,NA,721,3875,955,4654,"25 Broad St,","New York","NY","10004",NA,"Above Average","Below Average","Low"
"13","300 East 39th",483,3330,579,3865,845,5510,"300 E 39th St,","New York","NY","10016","Above Average","Average","Below Average","Lowest"
"14","303 East 83rd",NA,NA,602,3260,1038,5365,"303 E 83rd St,","New York","NY","10028","Above Average","Average","Average","Lowest"
"15","420 East 80th Street",537,2625,738,3270,NA,NA,"420 E 80th St,","New York","NY","10075","Above Average","Average","Average","Lowest"
"16","456 Washington",NA,NA,NA,NA,NA,NA,"456 Washington St,","New York","NY","10013","Above Average","Above Average","Average","Lowest"
"17","600 Washington",400,3360,600,4835,1098,0,"600 Washington St,","New York","NY","10014","Above Average","Above Average","Average","Low"
