Country,Score,year,Percent
Canada,1.0,2012,0.00354609929078
Turkey,5.0,2012,0.0177304964539
Italy,1.0,2012,0.00354609929078
Czech Republic,4.0,2012,0.0141843971631
France,6.0,2012,0.0212765957447
Bahamas,3.0,2012,0.0106382978723
Ethiopia,14.0,2012,0.0496453900709
Great Britain,14.0,2012,0.0496453900709
Bahrain,1.0,2012,0.00354609929078
Australia,7.0,2012,0.0248226950355
Iran,2.0,2012,0.00709219858156
Algeria,3.0,2012,0.0106382978723
Cuba,3.0,2012,0.0106382978723
Japan,1.0,2012,0.00354609929078
Slovenia,2.0,2012,0.00709219858156
Guatemala,2.0,2012,0.00709219858156
China,8.0,2012,0.0283687943262
Puerto Rico,1.0,2012,0.00354609929078
Germany,14.0,2012,0.0496453900709
Dominican Republic,5.0,2012,0.0177304964539
Kazakhstan,3.0,2012,0.0106382978723
Ukraine,4.0,2012,0.0141843971631
Colombia,2.0,2012,0.00709219858156
Poland,5.0,2012,0.0177304964539
Finland,1.0,2012,0.00354609929078
United States,58.0,2012,0.205673758865
Morocco,1.0,2012,0.00354609929078
Croatia,3.0,2012,0.0106382978723
Hungary,3.0,2012,0.0106382978723
Grenada,3.0,2012,0.0106382978723
New Zealand,3.0,2012,0.0106382978723
Russia,39.0,2012,0.13829787234
Jamaica,24.0,2012,0.0851063829787
Estonia,1.0,2012,0.00354609929078
Trinidad and Tobago,7.0,2012,0.0248226950355
Tunisia,2.0,2012,0.00709219858156
South Africa,2.0,2012,0.00709219858156
Uganda,3.0,2012,0.0106382978723
Kenya,19.0,2012,0.0673758865248
Botswana,2.0,2012,0.00709219858156
Canada,2.0,2008,0.00711743772242
Turkey,4.0,2008,0.0142348754448
Italy,4.0,2008,0.0142348754448
Czech Republic,3.0,2008,0.0106761565836
Sudan,2.0,2008,0.00711743772242
Panama,3.0,2008,0.0106761565836
Lithuania,1.0,2008,0.00355871886121
France,3.0,2008,0.0106761565836
Bahamas,3.0,2008,0.0106761565836
Ethiopia,16.0,2008,0.0569395017794
Great Britain,8.0,2008,0.0284697508897
Nigeria,2.0,2008,0.00711743772242
Norway,5.0,2008,0.017793594306
Ecuador,2.0,2008,0.00711743772242
Australia,8.0,2008,0.0284697508897
Cuba,9.0,2008,0.0320284697509
Cameroon,3.0,2008,0.0106761565836
Slovenia,3.0,2008,0.0106761565836
Trinidad and Tobago,4.0,2008,0.0142348754448
China,2.0,2008,0.00711743772242
Belgium,5.0,2008,0.017793594306
Germany,1.0,2008,0.00355871886121
Ukraine,8.0,2008,0.0284697508897
Poland,5.0,2008,0.017793594306
Finland,1.0,2008,0.00355871886121
United States,46.0,2008,0.163701067616
Morocco,3.0,2008,0.0106761565836
Belarus,11.0,2008,0.0391459074733
Croatia,2.0,2008,0.00711743772242
Kenya,30.0,2008,0.106761565836
New Zealand,5.0,2008,0.017793594306
Russia,35.0,2008,0.124555160142
Brazil,3.0,2008,0.0106761565836
Jamaica,24.0,2008,0.085409252669
Romania,3.0,2008,0.0106761565836
Estonia,3.0,2008,0.0106761565836
Portugal,3.0,2008,0.0106761565836
South Africa,2.0,2008,0.00711743772242
Latvia,2.0,2008,0.00711743772242
Greece,1.0,2008,0.00355871886121
Japan,1.0,2008,0.00355871886121
Brazil,1.0,2004,0.003663003663
Turkey,1.0,2004,0.003663003663
Italy,7.0,2004,0.025641025641
Czech Republic,5.0,2004,0.018315018315
Lithuania,5.0,2004,0.018315018315
France,2.0,2004,0.00732600732601
Bahamas,4.0,2004,0.014652014652
Ethiopia,14.0,2004,0.0512820512821
Great Britain,10.0,2004,0.03663003663
Nigeria,2.0,2004,0.00732600732601
Norway,3.0,2004,0.010989010989
Australia,4.0,2004,0.014652014652
Cuba,10.0,2004,0.03663003663
Cameroon,3.0,2004,0.010989010989
Japan,6.0,2004,0.021978021978
Slovenia,1.0,2004,0.003663003663
