Event,Sport
Men's Individual,Archery
Men's Team,Archery
Women's Individual,Archery
Women's Team,Archery
Men's 100 metres,Athletics
Men's 200 metres,Athletics
Men's 400 metres,Athletics
Men's 800 metres,Athletics
"Men's 1,500 metres",Athletics
"Men's 5,000 metres",Athletics
"Men's 10,000 metres",Athletics
Men's Marathon,Athletics
Men's 110 metres Hurdles,Athletics
Men's 400 metres Hurdles,Athletics
"Men's 3,000 metres Steeplechase",Athletics
Men's 4 × 100 metres Relay,Athletics
Men's 4 × 400 metres Relay,Athletics
Men's 20 kilometres Walk,Athletics
Men's 50 kilometres Walk,Athletics
Men's High Jump,Athletics
Men's Pole Vault,Athletics
Men's Long Jump,Athletics
Men's Triple Jump,Athletics
Men's Shot Put,Athletics
Men's Discus Throw,Athletics
Men's Hammer Throw,Athletics
Men's Javelin Throw,Athletics
Men's Decathlon,Athletics
Women's 100 metres,Athletics
Women's 200 metres,Athletics
Women's 400 metres,Athletics
Women's 800 metres,Athletics
"Women's 1,500 metres",Athletics
"Women's 5,000 metres",Athletics
"Women's 10,000 metres",Athletics
Women's Marathon,Athletics
Women's 100 metres Hurdles,Athletics
Women's 400 metres Hurdles,Athletics
"Women's 3,000 metres Steeplechase",Athletics
Women's 4 × 100 metres Relay,Athletics
Women's 4 × 400 metres Relay,Athletics
Women's 20 kilometres Walk,Athletics
Women's High Jump,Athletics
Women's Pole Vault,Athletics
Women's Long Jump,Athletics
Women's Triple Jump,Athletics
Women's Shot Put,Athletics
Women's Discus Throw,Athletics
Women's Hammer Throw,Athletics
Women's Javelin Throw,Athletics
Women's Heptathlon,Athletics
Men's Singles,Badminton
Men's Doubles,Badminton
Mixed Doubles,Badminton
Women's Singles,Badminton
Women's Doubles,Badminton
Men's Basketball,Basketball
Women's Basketball,Basketball
Men's Beach Volleyball,Beach Volleyball
Women's Beach Volleyball,Beach Volleyball
Men's Light-Flyweight,Boxing
Men's Flyweight,Boxing
Men's Bantamweight,Boxing
Men's Lightweight,Boxing
Men's Light-Welterweight,Boxing
Men's Welterweight,Boxing
Men's Middleweight,Boxing
Men's Light-Heavyweight,Boxing
Men's Heavyweight,Boxing
Men's Super-Heavyweight,Boxing
Women's Flyweight,Boxing
Women's Lightweight,Boxing
Women's Middleweight,Boxing
"Men's Kayak Singles, 200 metres",Canoeing
"Men's Kayak Singles, 1,000 metres",Canoeing
"Men's Kayak Doubles, 200 metres",Canoeing
"Men's Kayak Doubles, 1,000 metres",Canoeing
"Men's Kayak Fours, 1,000 metres",Canoeing
"Men's Kayak Singles, Slalom",Canoeing
"Men's Canadian Singles, 200 metres",Canoeing
"Men's Canadian Singles, 1,000 metres",Canoeing
"Men's Canadian Doubles, 1,000 metres",Canoeing
"Men's Canadian Singles, Slalom",Canoeing
"Men's Canadian Doubles, Slalom",Canoeing
"Women's Kayak Singles, 200 metres",Canoeing
"Women's Kayak Singles, 500 metres",Canoeing
"Women's Kayak Doubles, 500 metres",Canoeing
"Women's Kayak Fours, 500 metres",Canoeing
"Women's Kayak Singles, Slalom",Canoeing
"Men's Road Race, Individual",Cycling
Men's Individual Time Trial,Cycling
Men's Sprint,Cycling
Men's Keirin,Cycling
Men's Team Sprint,Cycling
"Men's Team Pursuit, 4,000 metres",Cycling
Men's Omnium,Cycling
"Men's Mountainbike, Cross-Country",Cycling
Men's BMX,Cycling
"Women's Road Race, Individual",Cycling
Women's Individual Time Trial,Cycling
Women's Sprint,Cycling
Women's Keirin,Cycling
Women's Team Sprint,Cycling
"Women's Team Pursuit, 3,000 metres",Cycling
Women's Omnium,Cycling
"Women's Mountainbike, Cross-Country",Cycling
Women's BMX,Cycling
Men's Springboard,Diving
Men's Platform,Diving
Men's Synchronized Springboard,Diving
Men's Synchronized Platform,Diving
Women's Springboard,Diving
Women's Platform,Diving
Women's Synchronized Springboard,Diving
Women's Synchronized Platform,Diving
"Mixed Dressage, Individual",Equestrianism
"Mixed Dressage, Team",Equestrianism
"Mixed Jumping, Individual",Equestrianism
"Mixed Jumping, Team",Equestrianism
"Mixed Three-Day Event, Individual",Equestrianism
"Mixed Three-Day Event, Team",Equestrianism
"Men's Foil, Individual",Fencing
"Men's Foil, Team",Fencing
"Men's Épée, Individual",Fencing
"Men's Sabre, Individual",Fencing
"Men's Sabre, Team",Fencing
"Women's Foil, Individual",Fencing
"Women's Foil, Team",Fencing
"Women's Épée, Individual",Fencing
"Women's Épée, Team",Fencing
"Women's Sabre, Individual",Fencing
Men's Football,Football
Women's Football,Football
Men's Individual All-Around,Gymnastics
Men's Team All-Around,Gymnastics
Men's Floor Exercise,Gymnastics
Men's Horse Vault,Gymnastics
Men's Parallel Bars,Gymnastics
Men's Horizontal Bar,Gymnastics
Men's Rings,Gymnastics
Men's Pommelled Horse,Gymnastics
Women's Individual All-Around,Gymnastics
Women's Team All-Around,Gymnastics
Women's Floor Exercise,Gymnastics
Women's Horse Vault,Gymnastics
Women's Uneven Bars,Gymnastics
Women's Balance Beam,Gymnastics
Men's Handball,Handball
Women's Handball,Handball
Men's Hockey,Hockey
Women's Hockey,Hockey
Men's Extra-Lightweight,Judo
Men's Half-Lightweight,Judo
Men's Lightweight,Judo
Men's Half-Middleweight,Judo
Men's Middleweight,Judo
Men's Half-Heavyweight,Judo
Men's Heavyweight,Judo
Women's Extra-Lightweight,Judo
Women's Half-Lightweight,Judo
Women's Lightweight,Judo
Women's Half-Middleweight,Judo
Women's Middleweight,Judo
Women's Half-Heavyweight,Judo
Women's Heavyweight,Judo
Men's Individual,Modern Pentathlon
Women's Individual,Modern Pentathlon
Women's Individual,Rhythmic Gymnastics
Women's Group,Rhythmic Gymnastics
Men's Single Sculls,Rowing
Men's Double Sculls,Rowing
Men's Coxless Pairs,Rowing
Men's Quadruple Sculls,Rowing
Men's Coxless Fours,Rowing
Men's Coxed Eights,Rowing
Men's Lightweight Double Sculls,Rowing
Men's Lightweight Coxless Fours,Rowing
Women's Single Sculls,Rowing
Women's Double Sculls,Rowing
Women's Coxless Pairs,Rowing
Women's Quadruple Sculls,Rowing
Women's Coxed Eights,Rowing
Women's Lightweight Double Sculls,Rowing
Men's Windsurfer,Sailing
Men's One Person Dinghy,Sailing
Men's Two Person Dinghy,Sailing
Men's Two Person Keelboat,Sailing
Men's Skiff,Sailing
Men's One Person Heavyweight Dinghy,Sailing
Women's Windsurfer,Sailing
Women's One Person Dinghy,Sailing
Women's Two Person Dinghy,Sailing
Women's Three Person Keelboat,Sailing
"Men's Air Pistol, 10 metres",Shooting
"Men's Rapid-Fire Pistol, 25 metres",Shooting
"Men's Free Pistol, 50 metres",Shooting
"Men's Air Rifle, 10 metres",Shooting
"Men's Small-Bore Rifle, Three Positions, 50 metres",Shooting
"Men's Small-Bore Rifle, Prone, 50 metres",Shooting
Men's Trap,Shooting
Men's Double Trap,Shooting
Men's Skeet,Shooting
"Women's Air Pistol, 10 metres",Shooting
"Women's Sporting Pistol, 25 metres",Shooting
"Women's Air Rifle, 10 metres",Shooting
"Women's Small-Bore Rifle, Three Positions, 50 metres",Shooting
Women's Trap,Shooting
Women's Skeet,Shooting
Men's 50 metres Freestyle,Swimming
Men's 100 metres Freestyle,Swimming
Men's 200 metres Freestyle,Swimming
Men's 400 metres Freestyle,Swimming
"Men's 1,500 metres Freestyle",Swimming
Men's 4 × 100 metres Freestyle Relay,Swimming
Men's 4 × 200 metres Freestyle Relay,Swimming
Men's 100 metres Backstroke,Swimming
Men's 200 metres Backstroke,Swimming
Men's 100 metres Breaststroke,Swimming
Men's 200 metres Breaststroke,Swimming
Men's 100 metres Butterfly,Swimming
Men's 200 metres Butterfly,Swimming
Men's 200 metres Individual Medley,Swimming
Men's 400 metres Individual Medley,Swimming
Men's 4 × 100 metres Medley Relay,Swimming
