,business_id,categories,latitude,longitude,review_count,stars,state,integer_business_id
0,5UmKMjUEUNdYWqANhGckJw,"[u'Fast Food', u'Restaurants']",40.3543266,-79.9007057,7,3.5,PA,1
1,UsFtqoBl7naz8AVUBZMjQQ,[u'Nightlife'],40.3505527,-79.8868138,5,3.0,PA,2
2,cE27W9VPgO88Qxe4ol6y_g,"[u'Active Life', u'Mini Golf', u'Golf']",40.3541155,-80.0146597,5,2.5,PA,3
3,mVHrayjG3uZ_RLHkLj-AMg,"[u'Bars', u'American (New)', u'Nightlife', u'Lounges', u'Restaurants']",40.4088301,-79.8662107,26,4.5,PA,4
4,mYSpR_SLPgUVymYOvTQd_Q,"[u'Active Life', u'Golf']",40.4034049,-79.8557821,3,5.0,PA,5
5,KayYbHCt-RkbGcPdGOThNg,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Restaurants']",40.4154859,-80.0675491,23,4.0,PA,6
6,b12U9TFESStdy7CsTtcOeg,"[u'Auto Repair', u'Automotive', u'Tires']",40.394588,-80.0844539,9,2.5,PA,7
7,Sktj1eHQFuVa-M4bgnEh8g,"[u'Active Life', u'Mini Golf']",40.4054039,-80.0762665,4,4.0,PA,8
8,3ZVKmuK2l7uXPE6lXY4Dbg,"[u'Roofing', u'Home Services', u'Decks & Railing', u'Contractors']",40.4062805,-80.0903905,3,2.5,PA,9
9,QoDa50dc7g62xciFygXB9w,"[u'Veterinarians', u'Pets']",40.3922071,-80.0691338,7,4.0,PA,10
10,1_lU0-eSWJCRvNGk78Zh9Q,"[u'Libraries', u'Public Services & Government']",40.4068423,-80.0858661,4,4.5,PA,11
11,_qopVQ6_Mz6W7-Pmbi56GQ,"[u'Automotive', u'Auto Parts & Supplies']",40.3983526,-80.0824517,3,3.5,PA,12
12,wJr6kSA5dchdgOdwH6dZ2w,"[u'Burgers', u'Breakfast & Brunch', u'American (Traditional)', u'Restaurants']",40.3875124,-80.0932152,10,3.5,PA,13
13,yXuao0pFz1AxB21vJjDf5w,"[u'Food', u'Grocery']",40.3875124,-80.0932152,5,4.0,PA,14
14,LLJMI-_fSp6OYQuY4rwarw,"[u'Automotive', u'Gas & Service Stations']",40.4099977,-80.0833664,3,3.5,PA,15
15,F04xyOUA2xnUoCiWpx9iJA,"[u'Local Services', u'Dry Cleaning & Laundry', u'Sewing & Alterations']",40.3688246817,-80.0843536574,3,3.0,PA,16
16,Cdcus0NADzyY3XiJM2O5Sg,"[u'Automotive', u'Gas & Service Stations']",40.388284,-80.089241,4,3.0,PA,17
